funcao,caso,metodo,f_inicial,alpha_otimo,phi_alpha,f_x_novo,iteracoes,tempo,convergiu
f1,caso_i,secao_aurea,52.0,0.06153473427764172,0.3653851154482883,0.3653851154482883,30,7.82012939453125e-05,True
f1,caso_i,interpolacao,52.0,0.03536100518114381,7.583744850054467,7.583744850054467,12,5.7220458984375e-05,True
f1,caso_i,wolfe,52.0,0.0625,0.37890625,0.37890625,5,3.9577484130859375e-05,True
f1,caso_ii,secao_aurea,82.0,0.018060197152040398,9.061366745281651,9.061366745281651,30,6.508827209472656e-05,True
f1,caso_ii,interpolacao,82.0,0.012212777421879793,13.285791639968602,13.285791639968602,10,3.647804260253906e-05,True
f1,caso_ii,wolfe,82.0,0.03125,16.513442993164062,16.513442993164062,6,4.172325134277344e-05,True
f2,caso_i,secao_aurea,267.61999999999995,0.0029433480189148655,0.519524127133927,0.519524127133927,30,6.651878356933594e-05,True
f2,caso_i,interpolacao,267.61999999999995,0.00031890080837177853,9.22096608124596,9.22096608124596,8,3.361701965332031e-05,True
f2,caso_i,wolfe,267.61999999999995,0.00048828125,27.189947534763036,27.189947534763036,12,7.367134094238281e-05,True
f2,caso_ii,secao_aurea,19.399999999999995,0.012505062436481714,5.991957222106413,5.991957222106413,30,6.723403930664062e-05,True
f2,caso_ii,interpolacao,19.399999999999995,0.0007355819163044821,0.06924251316416113,0.06924251316416113,7,4.506111145019531e-05,True
f2,caso_ii,wolfe,19.399999999999995,0.0009765625,0.9836052598082489,0.9836052598082489,11,6.914138793945312e-05,True
f3,caso_i,secao_aurea,14.203125,0.16666551825907963,0.6562500006431818,0.6562500006431818,30,8.535385131835938e-05,True
f3,caso_i,interpolacao,14.203125,0.16666666666666666,0.65625,0.65625,2,2.3365020751953125e-05,True
f3,caso_i,wolfe,14.203125,0.25,4.04296875,4.04296875,3,3.5762786865234375e-05,True
f3,caso_ii,secao_aurea,403069.203125,9.723294485538102e-06,1.6982553585325284,1.6982553585325284,30,8.463859558105469e-05,True
f3,caso_ii,interpolacao,403069.203125,1.0,3.1251174932746944e+44,3.1251174932746944e+44,100,0.00015997886657714844,True
f3,caso_ii,wolfe,403069.203125,3.0517578125e-05,8211.567739651171,8211.567739651171,16,0.00014519691467285156,True
f4,caso_i,secao_aurea,100.0,0.008663236880097498,5.050968170689266,5.050968170689266,30,8.20159912109375e-05,True
f4,caso_i,interpolacao,100.0,0.007329643234129988,6.994765845533907,6.994765845533907,12,5.1975250244140625e-05,True
f4,caso_i,wolfe,100.0,0.0078125,5.842471018433571,5.842471018433571,8,0.00010156631469726562,True
f4,caso_ii,secao_aurea,5776.0,0.00023408604997498237,11.772688860556912,11.772688860556912,30,7.939338684082031e-05,True
f4,caso_ii,interpolacao,5776.0,1.0,1.4456343030861167e+24,1.4456343030861167e+24,100,0.0001513957977294922,True
f4,caso_ii,wolfe,5776.0,0.00048828125,75.5042444748288,75.5042444748288,12,8.96453857421875e-05,True
f5,caso_i,secao_aurea,2.0,0.009806550277538942,1.960784316544815,1.960784316544815,30,7.581710815429688e-05,True
f5,caso_i,interpolacao,2.0,0.009803921568627473,1.9607843137254903,1.9607843137254903,2,1.8835067749023438e-05,True
f5,caso_i,wolfe,2.0,0.015625,1.974609375,1.974609375,7,5.078315734863281e-05,True
f5,caso_ii,secao_aurea,21.840000000000003,0.003332464920028263,6.117418080386162,6.117418080386162,30,7.343292236328125e-05,True
f5,caso_ii,interpolacao,21.840000000000003,0.003334107856630082,6.1174142626466566,6.1174142626466566,2,2.574920654296875e-05,True
f5,caso_ii,wolfe,21.840000000000003,0.00390625,6.580405273437499,6.580405273437499,9,8.726119995117188e-05,True
f6,caso_i,secao_aurea,42.0,0.00436193600273728,35.003763417626075,35.003763417626075,30,0.00013136863708496094,True
f6,caso_i,interpolacao,42.0,0.004361743794894665,35.00376362623193,35.00376362623193,3,2.7894973754882812e-05,True
f6,caso_i,wolfe,42.0,0.0078125,39.36994540691376,39.36994540691376,8,7.581710815429688e-05,True
f6,caso_ii,secao_aurea,19192.0,0.00027630110189254395,134.43280893709618,134.43280893709618,30,0.00010633468627929688,True
f6,caso_ii,interpolacao,19192.0,0.00012537815062835185,2103.309491307204,2103.309491307204,10,6.103515625e-05,True
f6,caso_ii,wolfe,19192.0,0.00048828125,9241.52498505963,9241.52498505963,12,0.00010895729064941406,True
